name,type,source,address,grow,lat,lon
Greenspace @ President Street,Community Garden,CUSP,"222 5th Ave, Brooklyn, NY 11215, USA",Outdoor,40.675947,-73.981099
Vinegar Hill Community Garden,Community Garden,CUSP,"199 York St, Brooklyn, NY 11201, USA",Outdoor,40.701501,-73.982635
Hooper Grove,Community Garden,CUSP,"375 S 5th St, Brooklyn, NY 11211, USA",Outdoor,40.7079717,-73.9536183
Keap Fourth Community Garden,Community Garden,CUSP,"Keap Fourth Community Garden, 347 Keap St, Brooklyn, NY 11211, USA",Outdoor,40.7090425,-73.9547643
McCarren Park Demonstration Garden,Community Garden,CUSP,"457 Leonard St, Brooklyn, NY 11222, USA",Outdoor,40.7205677,-73.9487759
Placita Infantil at Nuestros Ninos Daycare,Community Garden,CUSP,"384 S 4th St, Brooklyn, NY 11211, USA",Outdoor,40.7079651,-73.9525654
Powers Street,Community Garden,CUSP,"Powers Street Garden, 278 Powers St, Brooklyn, NY 11211, USA",Outdoor,40.7126925,-73.939702
Sunshine Community Garden,Community Garden,CUSP,"99 McKibbin St, Brooklyn, NY 11206, USA",Outdoor,40.70524380000001,-73.94370750000002
UCC Youth Farm (Urban Farm),Community Garden,CUSP,"620 Schenck Ave, Brooklyn, NY 11207, USA",Outdoor,40.665269,-73.886815
Pink Houses Community Farm (Urban Farm),Community Garden,CUSP,"2632 Linden Blvd, Brooklyn, NY 11208, USA",Outdoor,40.6683993,-73.8669456
Fresh Farm,Community Garden,CUSP,"Livonia Ave & Hendrix St, Brooklyn, NY 11207, USA",Outdoor,40.665717,-73.887593
Wortman Avenue Community Garden,Community Garden,CUSP,"Autumn Ave & Wortman Ave, Brooklyn, NY 11208, USA",Outdoor,40.6641872,-73.8653073
Myrtle Village Green,Community Garden,CUSP,"638 Myrtle Ave, Brooklyn, NY 11205, USA",Outdoor,40.6940795,-73.95866629999999
Most Precious Blood Community Garden,Community Garden,CUSP,"32-23 36th St, Astoria, NY 11103, USA",Outdoor,40.7591107,-73.9214235
